flatness_ratio,symmetry,crossflow,flow_velocity_path_1,flow_velocity_path_2,flow_velocity_path_3,flow_velocity_path_4,flow_velocity_path_5,flow_velocity_path_6,flow_velocity_path_7,flow_velocity_path_8,speed_of_sound_path_1,speed_of_sound_path_2,speed_of_sound_path_3,speed_of_sound_path_4,speed_of_sound_path_5,speed_of_sound_path_6,speed_of_sound_path_7,speed_of_sound_path_8,average_speed_of_sound,gain_1,gain_2,gain_3,gain_4,gain_5,gain_6,gain_7,gain_8,gain_9,gain_10,gain_11,gain_12,gain_13,gain_14,gain_15,gain_16,fault
0.841498715,1.009366516,0.993816009,8.469805167,10.17871667,10.0377595,8.501364667,8.581716167,10.14776333,10.05881167,8.631366167,1485.5185,1485.454,1485.4375,1485.354167,1485.468167,1485.450667,1484.918167,1485.508667,1485.391119,34.57031333,33.50586,36.701475,37.13053667,35.313895,35.59407833,34.375,31.45117333,34.568685,33.08168333,36.711005,36.96940333,36.07584667,36.05143167,35.174155,31.71949,0
0.841150116,1.006583694,0.996605106,7.531891,9.1399145,8.951617833,7.611111833,7.613315167,9.106345167,8.9451415,7.674045833,1486.041333,1485.991833,1485.973333,1485.867833,1485.990333,1485.991167,1485.466667,1486.033667,1485.919896,34.31803333,33.41936,36.68194167,37.08007667,35.19459833,35.51106833,34.10319,31.418385,34.44173167,33.081055,36.687815,36.933595,36.05468833,35.97981833,34.847005,31.73111167,0
0.840713143,1.011646566,0.998151739,6.641698833,7.975463833,7.857691833,6.593117333,6.681571167,7.964596167,7.814698167,6.66093,1486.013667,1485.980833,1485.96,1485.8505,1485.963667,1485.9795,1485.454667,1486.011333,1485.903146,34.18781667,33.41959833,36.67155167,37.00510667,35.175065,35.471005,33.91764333,31.418385,34.175715,33.113605,36.661785,36.87337,36.001605,35.96354167,34.68911833,31.77181,0
0.841118753,1.017807315,0.996811566,5.687514167,6.814333667,6.689884833,5.6154175,5.763315167,6.8010515,6.686639167,5.645545333,1484.898,1484.871,1484.851333,1484.739,1484.849333,1484.871,1484.3445,1484.900333,1484.790938,34.04134167,33.40331,36.68194167,36.93685,35.17669333,35.44433667,33.76301167,31.48535,34.08040333,33.17057333,36.67317667,36.811515,35.974935,35.95540333,34.50031833,31.849935,0
0.84035819,1.016534387,0.996110736,5.660385,6.819559833,6.675618167,5.613976833,5.736817667,6.813453333,6.671376833,5.660943667,1484.361333,1484.331833,1484.313833,1484.105,1484.3075,1484.331833,1483.807667,1484.364,1484.151875,34.04459667,33.38116167,36.69108,36.94987167,35.175065,35.44108167,33.75488167,31.503155,34.11171,33.16406167,36.67317667,36.81617333,35.996095,35.968415,34.47418333,31.85319,0
0.838901056,1.014557154,0.995403964,5.6459995,6.8301145,6.660115667,5.630101,5.711871167,6.813999,6.693988333,5.660036667,1484.3405,1484.3155,1484.196,1484.186,1484.191333,1484.317333,1483.795167,1484.35,1484.136479,34.00878833,33.41184833,36.68457167,36.94173167,35.17831,35.44433833,33.74837167,31.49511667,34.10319167,33.168945,36.66666833,36.8178,35.99771167,35.95865833,34.48893167,31.849935,0
0.841544173,1.010160437,0.995604473,5.6185855,6.811160333,6.685119167,5.671933333,5.718375333,6.8113005,6.671610333,5.6860535,1484.6455,1484.617833,1484.599667,1484.485333,1484.590833,1484.617667,1484.094,1484.648167,1484.537375,34.06087167,33.41145833,36.67480667,36.94173,35.17831,35.450845,33.71395833,31.50161667,34.10319,33.18511167,36.668195,36.81941833,35.99935167,35.94716667,34.480795,31.86131667,0
0.840916196,1.015113039,0.99589001,5.647399833,6.811407833,6.675509167,5.6137555,5.740677,6.795749833,6.670477833,5.654347167,1484.815667,1484.791667,1484.774,1484.661167,1484.763333,1484.790167,1484.166,1484.811167,1484.710511,34.01831,33.40169167,36.68945167,36.93684833,35.16691667,35.44108167,33.71711333,31.48860833,34.09830833,33.16731,36.67643167,36.81191,36.015615,35.93098833,34.45800667,31.86784,0
0.841671416,1.008904387,0.994111173,5.613118,6.815110667,6.6816145,5.6800055,5.716150667,6.817909,6.695647667,5.704541833,1484.785167,1484.757333,1484.740167,1484.617,1484.730833,1484.755833,1484.134833,1484.789,1484.677511,34.06738167,33.38867333,36.69108,36.94814333,35.16367167,35.4541,33.71581,31.50488333,34.11131833,33.16143333,36.66341333,36.81617167,35.99183833,35.97005333,34.48730667,31.8597,0
0.835900109,1.014731073,0.997579684,4.744331333,5.749815333,5.615156,4.719561333,4.8103315,5.7114035,5.641601833,4.714110667,1484.5115,1484.491833,1484.474333,1484.355333,1484.455333,1484.493333,1483.969333,1484.515167,1484.408396,33.93119167,33.406575,36.69108167,36.89778667,35.16367,35.40690333,33.58135667,31.53418167,33.97949333,33.10475333,36.66991167,36.785485,35.97005333,35.94401167,34.183855,31.91015833,0
0.838165746,1.010301911,0.998545139,3.815917,4.605406333,4.495096333,3.776841333,3.85663,4.595447667,4.491134667,3.784393333,1484.186167,1484.176667,1484.1575,1484.131167,1484.1355,1484.177,1483.753833,1484.195333,1484.189171,33.80696833,33.41959667,36.68945333,36.84144667,35.15390667,35.36611167,33.41145667,31.57487,33.90461333,33.16813,36.66504,36.743165,35.93913,35.91471333,34.11195833,31.98339833,0
0.836530439,1.010687567,0.997915971,1.866151667,3.463545333,3.381034667,1.841496333,1.901608833,3.461609,3.376616667,1.8375715,1484.377833,1484.373667,1484.355833,1484.111333,1484.313,1484.373,1483.8495,1484.3855,1484.181583,33.71156667,33.40810167,36.70147167,36.78873833,35.15118,35.33103167,33.171485,31.61531333,33.79557167,33.338115,36.65101833,36.71711,35.919595,35.90169167,33.9109,33.081055,0
0.833181061,1.016011178,0.998096606,1.856635333,3.446196667,3.394581167,1.813838667,1.891400167,3.437505333,3.395417167,1.8198085,1484.376667,1484.373333,1484.354833,1484.111667,1484.314,1484.374333,1483.849667,1484.384667,1484.181511,33.70117167,33.41447833,36.71113833,36.78111667,35.149015,35.33518833,33.18776,31.61044333,33.80371,33.31194167,36.66991333,36.713865,35.91471167,35.89681,33.93391,33.068035,0
0.836616933,1.017193618,0.999491819,1.870596667,3.453461667,3.386481667,1.841594167,1.888516333,3.450384333,3.381903167,1.837714333,1484.3165,1484.311333,1484.194833,1484.164167,1484.163333,1484.311667,1483.789333,1484.315833,1484.111375,33.70768333,33.41447833,36.70898333,36.79515,35.15716167,35.313895,33.17799333,31.631835,33.793945,33.31681333,36.65851833,36.71711167,35.91308667,35.89681,33.914155,33.081055,0
0.835410037,1.018531037,0.999400516,1.859560167,3.463445,3.381800167,1.8431945,1.881501333,3.461493833,3.370600667,1.840930833,1484.119,1484.1155,1484.197167,1484.066667,1484.167333,1484.115,1483.691667,1484.119333,1484.115108,33.71581,33.41448,36.71386833,36.790365,35.15118,35.33040667,33.16660167,31.61858,33.80371,33.31194,36.65853,36.71113833,35.91959333,35.90494833,33.91175833,33.087565,0
0.831037719,1.016145509,0.999511364,1.856868667,3.4561115,3.389176167,1.816115833,1.87139,3.436843833,3.394611,1.810513667,1484.109667,1484.1055,1484.087833,1483.958,1484.056333,1484.105667,1483.5815,1484.119,1484.015438,33.71745,33.416105,36.70147167,36.79361,35.14414333,35.33366,33.177995,31.63834333,33.80371167,33.31844833,36.66504,36.70571667,35.91471167,35.89843667,33.90614833,33.0778,0
0.817156488,1.016434899,0.998744158,1.907461833,1.303736,1.151605,1.8566065,1.916598167,1.305439,1.151346833,1.856487333,1483.916667,1483.916833,1483.909333,1483.775667,1483.8745,1483.916833,1483.403333,1483.938833,1483.83515,33.631185,33.43414333,36.7334,36.74804833,35.15553333,35.18483,33.15419833,31.68554667,33.71581,33.39843833,36.66504,36.67806167,35.8903,35.887045,33.75,33.16731667,0
0.840336073,1.001750598,0.994641537,8.374673333,10.19501667,10.04717167,8.507161333,8.511106,10.16596333,10.04545333,8.591674333,1487.669167,1487.574667,1487.5355,1487.441167,1487.6075,1487.576333,1487.038,1487.611,1487.506667,34.51171167,33.48307333,36.69170667,37.11401333,35.19197,35.54687667,34.16595,31.38769667,34.53613333,33.05664167,36.71113833,36.987305,36.07411833,36.00586,35.00813833,31.70996167,0
0.837916847,1.005683715,0.995000111,7.453149,9.109173833,8.913711667,7.560131667,7.569641333,9.081059,8.935758667,7.615711667,1487.756667,1487.6655,1487.618,1487.510833,1487.691833,1487.661167,1487.111833,1487.685,1487.591604,34.33593833,33.40983167,36.687815,37.06117667,35.1653,35.51431333,34.01367333,31.41111167,34.40755167,33.087565,36.66341333,36.90755167,36.00097833,35.974935,34.78190167,31.71949167,0
0.840187119,1.010155755,0.994181118,6.5880515,7.9610385,7.8197915,6.591041667,6.696091,7.954846333,7.819090333,6.657517833,1487.056833,1486.981833,1486.941333,1486.8155,1487.001,1486.983333,1486.445,1486.996667,1486.904063,34.15101,33.40331,36.68457,37.03938667,35.13111833,35.43619667,33.87107,31.401345,34.13991,33.115135,36.67643333,36.87988333,35.97981833,35.941385,34.55403667,31.80436167,0
0.840411531,1.009880685,0.994748118,5.615157833,6.791961333,6.68031,5.641616333,5.714579,6.7956015,6.688387833,5.6711965,1486.561167,1486.495833,1486.457167,1486.337833,1486.506,1486.495667,1485.959333,1486.506,1486.415,34.01831167,33.40169333,36.68457,36.93511,35.11613833,35.41643333,33.65885333,31.46581167,34.10481833,33.16569167,36.65853,36.81478,35.93161833,35.94138333,34.35709667,31.84505167,0
